county,public_level_1,shared_private_level_1,public_level_2,shared_private_level_2,public_dc_fast,shared_private_dc_fast,total,year,quarter
Alameda,4,66,1473,2465,385,37,4430,2022,Q4
Alpine,0,0,6,0,0,0,6,2022,Q4
Amador,0,0,26,0,8,0,34,2022,Q4
Butte,6,0,59,55,26,0,146,2022,Q4
Calaveras,0,2,11,0,12,0,25,2022,Q4
Colusa,0,0,14,2,18,0,34,2022,Q4
Contra Costa,0,2,633,606,254,8,1503,2022,Q4
Del Norte,0,0,14,1,22,2,39,2022,Q4
El Dorado,1,0,138,4,45,1,189,2022,Q4
Fresno,22,1,487,455,312,14,1291,2022,Q4
Glenn,0,0,4,0,10,0,14,2022,Q4
Humboldt,0,0,111,10,33,0,154,2022,Q4
Imperial,0,0,12,12,24,1,49,2022,Q4
Inyo,0,0,8,5,34,1,48,2022,Q4
Kern,5,1,181,248,252,4,691,2022,Q4
Kings,0,0,49,247,114,0,410,2022,Q4
Lake,0,0,14,0,0,0,14,2022,Q4
Lassen,0,1,7,0,8,0,16,2022,Q4
Los Angeles,29,120,7269,17751,1556,290,27015,2022,Q4
Madera,0,1,53,40,86,10,190,2022,Q4
Marin,1,0,459,484,83,0,1027,2022,Q4
Mariposa,0,0,28,0,18,0,46,2022,Q4
Mendocino,0,0,127,20,39,0,186,2022,Q4
Merced,10,2,33,31,56,3,135,2022,Q4
Modoc,0,0,4,0,8,0,12,2022,Q4
Mono,0,0,19,7,12,0,38,2022,Q4
Monterey,0,0,216,62,145,1,424,2022,Q4
Napa,0,0,330,24,42,0,396,2022,Q4
Nevada,0,1,72,43,53,0,169,2022,Q4
Orange,1,0,2666,1994,700,22,5383,2022,Q4
Placer,0,1,207,106,137,4,455,2022,Q4
Plumas,0,0,7,0,0,0,7,2022,Q4
Riverside,0,1,990,179,454,11,1635,2022,Q4
Sacramento,65,18,988,646,303,20,2040,2022,Q4
San Benito,0,0,10,10,25,0,45,2022,Q4
San Bernardino,3,11,679,490,467,32,1682,2022,Q4
San Diego,2,17,2266,4860,561,29,7735,2022,Q4
San Francisco,9,6,656,1126,121,34,1952,2022,Q4
San Joaquin,0,0,198,280,141,13,632,2022,Q4
San Luis Obispo,0,1,360,158,129,2,650,2022,Q4
San Mateo,2,36,2013,2196,301,9,4557,2022,Q4
Santa Barbara,1,2,286,124,97,2,512,2022,Q4
Santa Clara,2,75,3632,13192,659,61,17621,2022,Q4
Santa Cruz,1,0,188,91,79,0,359,2022,Q4
Shasta,0,0,71,48,30,4,153,2022,Q4
Sierra,0,0,1,0,0,0,1,2022,Q4
Siskiyou,0,1,24,0,42,0,67,2022,Q4
Solano,2,0,223,150,105,2,482,2022,Q4
Sonoma,0,0,444,228,125,19,816,2022,Q4
Stanislaus,0,1,78,47,59,3,188,2022,Q4
Sutter,0,0,0,5,16,1,22,2022,Q4
Tehama,0,0,8,46,32,1,87,2022,Q4
Trinity,0,0,4,0,10,0,14,2022,Q4
Tulare,0,3,80,64,61,23,231,2022,Q4
Tuolumne,0,0,32,12,14,0,58,2022,Q4
Ventura,4,0,387,312,149,6,858,2022,Q4
Yolo,14,0,205,132,57,4,412,2022,Q4
Yuba,0,0,20,51,4,0,75,2022,Q4
Unknown,0,6,0,801,0,0,807,2022,Q4
Total,184,376,28580,49920,8533,674,88267,2022,Q4
Alameda,0,70,1465,2334,375,38,4282,2022,Q3
Alpine,0,0,16,0,0,0,16,2022,Q3
Amador,0,0,25,0,8,0,33,2022,Q3
Butte,6,0,59,46,27,1,139,2022,Q3
Calaveras,0,2,9,0,12,0,23,2022,Q3
Colusa,0,0,16,0,18,0,34,2022,Q3
Contra Costa,0,2,630,608,251,4,1495,2022,Q3
Del Norte,0,0,14,1,22,2,39,2022,Q3
El Dorado,1,0,140,4,48,1,194,2022,Q3
Fresno,8,1,507,412,217,13,1158,2022,Q3
Glenn,0,0,4,0,10,0,14,2022,Q3
Humboldt,0,0,109,10,31,0,150,2022,Q3
Imperial,0,0,12,12,20,1,45,2022,Q3
Inyo,0,0,8,5,35,1,49,2022,Q3
Kern,4,1,165,248,226,2,646,2022,Q3
Kings,0,0,49,22,105,0,176,2022,Q3
Lake,0,0,15,0,0,0,15,2022,Q3
Lassen,0,1,7,0,8,0,16,2022,Q3
Los Angeles,29,120,7440,16498,1352,246,25685,2022,Q3
